date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:32	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a332546-239b%22	https://uditrsahani-ship-it.github.io/robots.txt		(from )
10:37:32	31265/31265	---M-Z	200	added ('OK')	text/html	etag:W/%226a26f8f4-7a21%22	https://uditrsahani-ship-it.github.io/macamazepop/	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/index.html	(from )
10:37:32	70984/70984	---M-Z	200	added ('OK')	text/css	etag:W/%226a26f8f4-11548%22	https://uditrsahani-ship-it.github.io/macamazepop/Base.css	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/Base.css	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:32	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/fonts/_families=SF+Pro,v1_7CSF+Pro+Icons,v1html.html	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/fonts/_families=SF+Pro,v1_7CSF+Pro+Icons,v1html.html	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:33	70802/70802	---M--	200	added ('OK')	image/jpeg	etag:%226a26f8f4-11492%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/contact-us-hero.image.small_2x.jpg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/contact-us-hero.image.small_2x.jpg	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:33	198196/198196	---M--	200	added ('OK')	image/jpeg	etag:%226a26f8f4-30634%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/contact-us-hero.image.large_2x.jpg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/contact-us-hero.image.large_2x.jpg	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:34	3917/3917	---M--	200	added ('OK')	image/jpeg	etag:%226a26f8f5-f4d%22	https://uditrsahani-ship-it.github.io/macamazepop/ucloud.jpg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/ucloud.jpg	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:34	161088/161088	---M--	200	added ('OK')	video/mpeg	etag:%226a26f8f4-27540%22	https://uditrsahani-ship-it.github.io/macamazepop/ualert.mpeg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/ualert.mpeg	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:34	741/741	---M--	200	added ('OK')	image/png	etag:%226a26f8f5-2e5%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/us.png	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/apple/us.png	(from https://uditrsahani-ship-it.github.io/macamazepop/)
10:37:35	2494/2494	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a26f8f5-9be%22	https://uditrsahani-ship-it.github.io/macamazepop/text.js	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/text.js	(from https://uditrsahani-ship-it.github.io/macamazepop/)
